"","Symbol","CAD1","CAD2","CAD3","CAD4","CAD5","CAD6","CAD10","CAD11","N10","N12","N13","N14","N15","RF2","RF3","RF4","RF8","RF9","RF11","RF12"
"1","MT-CYB",9384.55930132127,11923.5039503911,34985.4747081763,4216.00298751307,12402.4413183367,12763.2422388124,14090.6029431257,12610.50070352,59591.6905198778,104134.4733722,67784.30404395,7453.28177608927,415.460860202175,68937.585587847,43507.0228117736,88703.8801015815,60535.6542602595,49629.382824525,121074.822328742,58357.1304767173
"2","MT-ND4",10934.2964538035,12360.328040959,24509.2381415289,5360.27179089838,12871.5303032926,10679.4040591132,12703.6792164378,12715.8619420121,61462.1809471678,76185.0774187054,74439.8814961262,7009.57062777312,692.434767003625,114271.625805875,47385.6192219481,89380.0380780394,45171.8275218914,26944.8957022465,136849.847314972,102437.483802577
"3","MT-CO1",9722.28571644071,11516.7510834493,12963.1580920346,5587.18655703799,11594.0474618033,12417.7132878285,12888.903557787,8396.05116383669,41031.7071269303,45423.8783833205,50642.4389594163,11162.0372233356,830.92172040435,71960.8912015643,32459.8031332033,76398.0644916502,40916.70427837,28469.5967180228,46404.2553892806,41897.3926553959
"4","MT-CO3",8205.9264136993,10957.0042717434,17443.7581673424,5740.20990972336,13001.314416671,11768.6023161242,16286.189038143,15062.3187004298,37278.3686779358,48439.7540921884,40438.0542316749,7658.77407462333,415.460860202175,44606.5815922084,28608.1347417456,64224.6252993747,34483.7475256456,25709.2677857532,62112.5824742107,34312.408198121
"5","FN1",192.371263022342,249.538399563515,211.313998100786,748.609107229636,466.544198419069,162.100001696147,144.565339589619,632.167430952493,301.075936644872,648.877634282342,711.429519637387,177.332242809027,0,205.180638051765,94.2480655088268,109.015873363661,96.8540950725654,427.68228253532,71.2307683791863,1459.02874599135
"6","COL1A2",138.536021504896,178.317080449193,135.124152051885,504.138579737424,331.670511967011,128.684650469309,167.153673900497,448.714921578044,376.34492080609,195.518684529519,140.117420045816,138.517030863703,0,116.579907983958,117.329224408948,66.1882088279368,107.000714556358,470.541701040991,110.083914767833,1568.44473704365
"7","ACTB",777.02198590181,690.05544741877,1249.03562947764,1889.20954257112,2393.7958689793,821.164482276533,1314.6410568931,1294.70368947035,1084.09805545635,2931.55827616448,1809.01597666294,727.594953328024,0,1182.89746634389,766.486818474846,1670.27891689323,1224.05127772661,4008.7234840624,415.081113918713,2459.40352132671
"8","MT-ATP6",6347.89277812717,7713.00507741775,11965.5224075336,3373.85049516584,7503.72723493652,7111.78209195858,8520.31970206317,7759.54532894629,32266.8024340075,34072.7967546036,42242.0660147648,4937.14274292771,415.460860202175,51161.4812184531,20319.1135517397,48413.4302375952,25196.8234381161,13758.785242842,52719.8343347552,26516.1838887329
"9","MT-CO2",5702.58768313804,4504.35275998582,8569.36665664999,1882.92091163884,5782.60327385963,4853.75750692804,6451.22827918675,5680.83007069662,26514.9039428816,34279.3133651379,27672.3564267865,3497.93557060209,138.486953400725,37151.6850763276,16224.1312768766,47948.8149677834,26052.829154567,13957.5799925066,46377.0581868086,28079.7160710762
"10","MT-ND1",6299.08215915135,9499.34127387032,10046.9718242743,4573.4068454974,11624.5849002453,9605.84703033613,12983.7745618927,8976.7775195254,28589.8563868483,28653.263217801,34600.6624286948,5937.20526246016,415.460860202175,57949.5406606657,31079.7421739669,50881.8610844724,33121.3332549581,22098.13380102,31180.2975293291,22064.9627343724
"11","MT-ND5",3404.89957517343,3910.3142020397,5409.21359962516,2197.61448454146,2744.12814888307,3101.22897981839,4056.86484223368,3707.47605093903,24757.8787006705,30371.3836581042,27206.9664244914,3676.02889599828,138.486953400725,27473.998314886,13589.0323024461,27334.4324379217,21899.1721058836,28697.5723483721,42809.691795891,26337.0989401126
"12","MALAT1",6320.61625575833,6583.48771279727,2876.10032088432,2196.56637938608,3348.09082029103,4358.21495788324,3081.04880000376,3588.47982864209,1812.07270823947,2963.33006240052,6514.62599986826,3875.43253383504,969.408673805075,7555.93243613357,2625.48182488875,4137.41195575417,982.377250021735,1345.05621906097,2563.6601092109,4490.96818784481
"13","SAR1A",3043.84455539642,4617.25173991519,9943.43858399882,3869.86625994907,4469.49342085468,4378.1219756354,6496.40494780851,7714.92174558493,335.901884540361,339.71371437004,580.486454475523,5519.37092210757,276.97390680145,267.356588976543,296.208205884884,319.260771993578,225.07046854958,377.52764385847,343.202793099716,412.20799894399
"14","MT-ND4L",2144.79602205507,3601.68848587763,3118.47429106776,1752.16979350528,3407.46917281709,2749.30134455701,3501.19181818609,2589.4073789407,21412.3408673555,23561.2234775854,30440.5095049535,2027.52401220278,276.97390680145,60515.8530350859,22905.1650635074,42292.9676330354,20347.6617448164,14020.501266483,51279.677708616,25820.3875048166
"15","C7",284.608976822234,337.641809134566,2243.2202059694,733.149556187792,665.885810470853,354.771494940251,320.754347214467,420.205409986069,290.96517757844,205.294618755995,110.926290869604,745.860935419941,276.97390680145,216.061429463602,212.539004871946,149.247921866916,248.130967376382,873.602615498584,440.335659071334,1322.37040614643
"16","ACTC1",13722.9619644072,17258.7721000441,12792.9919201971,18746.9328616911,18688.06406431,12761.820308973,18323.6567929842,16769.1707640016,15165.0151819744,29632.0786322269,11120.9861838745,16029.9214508314,830.92172040435,3497.39723951873,20515.3034023907,28201.368192766,30282.1246394024,33945.5713590134,20246.374583124,13360.3624013092
"17","C6orf62",3151.51503843132,4350.83124989495,4454.58403031557,4422.47970312279,2792.47909308287,3428.98380780928,3876.15816774666,5173.85658195236,186.487333891973,259.062257001613,639.702745090124,4823.7414374404,692.434767003625,191.191049093691,209.653860009431,131.07860963964,134.673313148519,318.253979967647,216.930067336613,277.782638508301
"18","ACTG1",298.247238006653,312.318673449474,544.744125757304,676.551877797312,642.134469460428,263.057020296378,582.779025220652,535.483000336229,456.107575663501,1858.64949480874,1038.37016641096,347.814742333585,0,548.702766911161,375.068832126964,486.678006087771,713.953043677768,1714.37674022687,350.325869937635,2112.8451170141
"19","COL3A1",179.091903448039,130.836201039644,183.705134027317,430.771218860876,287.560878661935,95.2692992424722,112.94167155439,391.076126402964,867.27844436508,141.751046283901,248.541614128888,89.046662698095,0,149.222282219466,97.1332103713419,49.3167046168941,116.224914087078,325.549200138825,76.4111878976726,1212.95441509412
"20","FTL",264.51048665572,430.493306646572,229.100477840426,910.803380024577,944.964067343351,418.758337715046,641.508694428935,557.175020025776,906.598062956761,1404.06855327761,592.996938408185,462.738212995229,0,1813.98336823038,565.488393052961,1069.39380537686,1330.1295723299,6476.33170696341,972.623764595799,1835.0624785058
"21","EFEMP1",46.2983077050039,101.820108067143,108.311697518996,329.367045077932,318.946579282855,67.5416673733945,99.3886709678631,176.01524548089,83.1329078795543,296.944002129207,140.117420045816,141.561361212356,0,111.916711664599,53.8560374336153,41.5298565194898,47.0434176066746,395.765694286415,93.8951037725638,1305.84635851812
