"","X","Symbol","CAD1","CAD2","CAD3","CAD4","CAD5","CAD6","CAD10","CAD11","N10","N12","N13","N14","N15","RF2","RF3","RF4","RF8","RF9","RF11","RF12"
"1",1,"MT-CYB",9384.55930132127,11923.5039503911,34985.4747081763,4216.00298751307,12402.4413183367,12763.2422388124,14090.6029431257,12610.50070352,59591.6905198778,104134.4733722,67784.30404395,7453.28177608927,415.460860202175,68937.585587847,43507.0228117736,88703.8801015815,60535.6542602595,49629.382824525,121074.822328742,58357.1304767173
"2",2,"MT-ND4",10934.2964538035,12360.328040959,24509.2381415289,5360.27179089838,12871.5303032926,10679.4040591132,12703.6792164378,12715.8619420121,61462.1809471678,76185.0774187054,74439.8814961262,7009.57062777312,692.434767003625,114271.625805875,47385.6192219481,89380.0380780394,45171.8275218914,26944.8957022465,136849.847314972,102437.483802577
"3",3,"MT-CO1",9722.28571644071,11516.7510834493,12963.1580920346,5587.18655703799,11594.0474618033,12417.7132878285,12888.903557787,8396.05116383669,41031.7071269303,45423.8783833205,50642.4389594163,11162.0372233356,830.92172040435,71960.8912015643,32459.8031332033,76398.0644916502,40916.70427837,28469.5967180228,46404.2553892806,41897.3926553959
"4",4,"MT-CO3",8205.9264136993,10957.0042717434,17443.7581673424,5740.20990972336,13001.314416671,11768.6023161242,16286.189038143,15062.3187004298,37278.3686779358,48439.7540921884,40438.0542316749,7658.77407462333,415.460860202175,44606.5815922084,28608.1347417456,64224.6252993747,34483.7475256456,25709.2677857532,62112.5824742107,34312.408198121
"8",8,"MT-ATP6",6347.89277812717,7713.00507741775,11965.5224075336,3373.85049516584,7503.72723493652,7111.78209195858,8520.31970206317,7759.54532894629,32266.8024340075,34072.7967546036,42242.0660147648,4937.14274292771,415.460860202175,51161.4812184531,20319.1135517397,48413.4302375952,25196.8234381161,13758.785242842,52719.8343347552,26516.1838887329
"9",9,"MT-CO2",5702.58768313804,4504.35275998582,8569.36665664999,1882.92091163884,5782.60327385963,4853.75750692804,6451.22827918675,5680.83007069662,26514.9039428816,34279.3133651379,27672.3564267865,3497.93557060209,138.486953400725,37151.6850763276,16224.1312768766,47948.8149677834,26052.829154567,13957.5799925066,46377.0581868086,28079.7160710762
"10",10,"MT-ND1",6299.08215915135,9499.34127387032,10046.9718242743,4573.4068454974,11624.5849002453,9605.84703033613,12983.7745618927,8976.7775195254,28589.8563868483,28653.263217801,34600.6624286948,5937.20526246016,415.460860202175,57949.5406606657,31079.7421739669,50881.8610844724,33121.3332549581,22098.13380102,31180.2975293291,22064.9627343724
"11",11,"MT-ND5",3404.89957517343,3910.3142020397,5409.21359962516,2197.61448454146,2744.12814888307,3101.22897981839,4056.86484223368,3707.47605093903,24757.8787006705,30371.3836581042,27206.9664244914,3676.02889599828,138.486953400725,27473.998314886,13589.0323024461,27334.4324379217,21899.1721058836,28697.5723483721,42809.691795891,26337.0989401126
"14",14,"MT-ND4L",2144.79602205507,3601.68848587763,3118.47429106776,1752.16979350528,3407.46917281709,2749.30134455701,3501.19181818609,2589.4073789407,21412.3408673555,23561.2234775854,30440.5095049535,2027.52401220278,276.97390680145,60515.8530350859,22905.1650635074,42292.9676330354,20347.6617448164,14020.501266483,51279.677708616,25820.3875048166
"18",18,"ACTG1",298.247238006653,312.318673449474,544.744125757304,676.551877797312,642.134469460428,263.057020296378,582.779025220652,535.483000336229,456.107575663501,1858.64949480874,1038.37016641096,347.814742333585,0,548.702766911161,375.068832126964,486.678006087771,713.953043677768,1714.37674022687,350.325869937635,2112.8451170141
