Symbol,log2FoldChange,pvalue
SAR1A,-2.18777269502012,2.65652091646361E-05
C6orf62,-2.6742131704395,1.6915673694844E-07
AXL,-2.78650785919511,0.000173959539412
BICC1,-3.59855326113771,0.00027388866015
CAPZA1,-1.73278403064529,0.000232183462116
TXNIP,1.46062912017625,7.34720482186151E-05
HNRNPH1,-1.81995372081358,0.000592319156385
RAB31,-1.79837938364367,0.00041973140141
UBE2B,-2.06138280667398,0.000125275768063
PAFAH1B2,-1.56007182816026,0.001391919840109
EIF2S3,-1.74298250448705,0.001063319998638
YWHAG,-1.55076880524874,0.000815638927099
ENAH,-1.69808760167615,0.000269611887499
PPP3CA,-2.67216823748962,3.98459567587323E-06
RND3,-2.45853971929328,2.19083279805262E-07
MDM2,-1.69315891177153,0.000331690244973
MT2A,1.67805267704006,0.000765907959167
PHACTR2,-2.10240548733039,1.7234903723662E-05
MARCKS,-3.24136768520361,4.21352632897754E-05
PTP4A2,-2.17084893830079,3.02158173887795E-07
BSG,1.49806693828105,0.001306885993891
TMEM33,-2.61175953483697,1.87517392869905E-06
INSR,-1.49259289761288,0.001448295315564
ARID5B,-1.8771374633736,0.000493482921953
MOB1A,-1.56715659206929,0.000835158834639
ARF6,-2.71879482184922,1.82312511034821E-06
RELL1,-2.1348664247376,2.54631103377805E-05
NUCKS1,-1.22758504663234,0.001753881406913
PIP4K2A,-2.69026864800776,4.82377113457014E-06
CDV3,-2.00034706334937,4.19249259471012E-06
ANP32E,-2.39293372300206,2.11313947141996E-05
TLK1,-2.67081321530836,1.93804843979448E-06
EFNA5,-1.97491369239006,0.000203498825254
LDB3,1.57998351692732,9.52148989126675E-05
SEL1L,-1.75248831665003,0.000248388205162
UBB,1.23211474266656,0.000113012486982
NAA15,-1.02225081812975,0.00092975497303
DCBLD2,-1.6319482292715,0.00038156018044
UBE2W,-2.22875184627773,4.93884896129514E-05
TMTC3,-2.01642676390213,1.50908391730195E-05
STOM,-1.19037926854468,0.000236526409914
MDM4,-1.63775802333438,5.78786237281531E-05
STRN3,-2.00559346423864,0.000412272310637
LAMB2,1.46845706395833,0.000125163293956
SQSTM1,1.18523526086482,0.000126388188668
UGCG,-2.3653579120542,1.15422720413261E-06
TES,-1.92246623720423,4.94190313565336E-05
GRN,1.24260345395165,0.001694512657312
POGLUT1,-1.7628471707282,0.000536568896498
BROX,-2.17741992505886,7.55933565760069E-05
MAGED1,1.10689558979419,0.001831752268245
DAAM1,-1.67159164592959,0.000258221947697
MAOA,1.12974216323191,0.000408455913833
ADM,1.99840895896704,0.001197985289915
RAP2B,-1.9539227476802,0.000477118187985
MFSD14B,-1.6861046055348,0.000113637719422
SPCS3,-1.67713665805812,0.000258038603685
ISCU,0.906952934568433,0.001239721292423
SLIT2,-3.00171118548861,2.34410750683421E-06
TRPS1,-2.06035980669272,0.001092693180908
ERO1A,-1.613623005066,0.000440321758566
