Symbol,log2FoldChange,pvalue
NECAB1,-2.82875156012065,0.000664638215683
SMU1,-1.46288556591823,0.000260083325652
SKIL,-2.99755708096236,0.000135056246475
BZW1,-1.5388602270935,0.00015845737086
ADI1,1.14766529777894,0.00030547367048
SLC12A2,-2.27728483772048,3.60874700547886E-06
PTEN,-1.766897703525,0.001686854860917
GBP1,-2.88055637931606,9.76362556810861E-06
PSMD12,-1.19867008098754,0.000900752789658
GNAQ,-1.51975389252645,0.001790331259875
ZNF121,-1.69021192395291,0.000237096779665
PRXL2C,-1.53299771692748,0.000313057790013
ATRAID,1.04324593417074,0.001136543140503
C16orf72,-1.59520664035155,0.001317860468393
HNRNPA0,-1.55184185353462,0.000183842927846
WSB2,-1.19473327838637,0.001600607660559
ANAPC16,0.767509151659586,0.001531475375353
SLC30A4,-2.90367068504573,2.170099635742E-06
CLMP,-2.21548855517749,0.000733773320825
STAM2,-2.17878035643444,8.40931284875557E-06
SFPQ,-1.56736366956721,2.96190868213545E-05
PAK1IP1,-1.49392764407531,0.000193664611883
FAM76A,-1.98965013555215,6.16182434177719E-05
CCL2,-2.85523600858254,0.001732508719892
PAN3,-2.45018563354724,5.28400229486439E-05
BAG4,-2.12547764011678,7.21620378947263E-05
CRISPLD2,-1.84797782567466,0.001046002294622
SOX4,-2.22363444195903,9.88333505145355E-05
DDX21,-1.20965715673469,0.000579444085441
ELOVL6,-2.41426622268534,0.000990062357276
CDK2AP1,-1.55033461494252,0.001059761626384
C12orf49,-1.80232704285055,0.000267980562684
ZMPSTE24,-1.26974642920996,0.00179309360444
ATL3,-1.99042272810738,0.000658178655981
MEIS1,-1.0702218084639,0.001818433046677
EAF1,-2.29905742547549,2.17645461273732E-05
TASOR,-1.64478397514193,0.001236166208565
NDUFAF3,1.22336510151212,0.001197326647101
PSMA3-AS1,-1.6464136641831,0.000565093443608
FBXW7,-0.99630894778462,0.00010567067864
MLEC,1.29845432912325,2.9621048609767E-05
SAMD8,-1.2167427214721,0.001668328229644
CLU,1.67711808431703,3.35949170604503E-05
DCUN1D4,-1.92213954250622,0.000486070134631
RAB21,-1.4642833292426,0.001014848999657
SERINC5,-3.27335300072323,1.84195982345238E-09
UNC45B,0.769375664913482,0.000547459677222
AEBP2,-3.15034032315394,2.09296295553796E-06
LYSMD1,-1.98826861813118,0.000267486746315
AKAP12,-2.05135944614705,0.000321322477282
XPOT,-1.17909474686647,0.000178058456147
GABPB2,-1.62298301793559,0.000201661897737
APOLD1,-1.76519348628391,0.000567524568617
PDS5B,-1.32005160691731,0.001831320555926
RDH10,-2.77372899867816,1.71752709424208E-05
CAT,1.07230596220008,0.001111772412795
PNPLA2,1.57435978291569,0.001302261765673
FEM1B,-1.40822631480352,0.000287074871303
NEK9,0.882302536990507,0.000309680459445
SEH1L,-1.2355915354641,0.000538678081178
ITCH,-1.19173625680371,0.001711104389499
SLC39A11,-1.824744466344,7.94688951992836E-05
RAP2C,-2.29087902655324,7.14012252634815E-05
CNOT6,-1.8936620945708,0.000399305737633
ZNF587,-2.24873628405642,2.71374721122406E-05
TGFBR1,-1.66433183141008,0.001254647603863
MRPL55,1.38958009122647,0.001153906727995
ALDH1L1,1.78972462582042,0.001864272452988
CDIPT,1.31817392731481,0.001254551849528
ZNF587B,-2.27375642044429,0.000429941874236
KLHDC3,1.30421478039628,0.000657103615838
G0S2,1.9728547535229,0.000221672513248
MTRNR2L12,-2.38971839979693,0.001655102735255
FOSL2,-1.60143791013292,0.000596674106186
CHSY1,-1.84129896035195,0.000434262324289
MLYCD,1.54136215742704,0.000211336716827
NKX3-1,-2.09579506031605,0.000197532917482
DCLRE1C,-1.40346594942928,0.001266494797617
FLT1,-1.56352063983675,2.96204375763341E-05
NT5DC3,-1.44510916526865,0.001368027466236
FAM13B,-1.35446572555396,0.001107945044591
ZNF397,-1.36166203014217,0.001707336489404
RPA1,0.966049000567369,0.001759825112477
CTSF,1.3938746806567,0.000303075998931
CCDC85B,1.55214737895401,0.000555423089215
YES1,-1.75201997453638,0.000504786168966
GRPEL2,-1.99875979183047,4.46359106921085E-05
FICD,-1.59000607588805,0.000579453676168
LCOR,-1.48677911904082,0.000220273157708
CCDC117,-2.17557116006471,1.33246336314735E-05
FKBP8,1.56452985273428,0.000448354810683
ETV3,-1.71244234208056,0.000519148186768
REX1BD,1.35168318640684,0.000359130416379
SCN7A,-2.10383826183482,0.000756690601325
ANGPTL4,2.50546281504465,0.001131189165081
NSUN3,-1.47442504214675,0.001702895471035
ZNF141,-2.10056050517941,0.000609516451018
SMTN,1.48016777743088,0.001151809243824
RNF187,1.52016655648988,0.000266944118351
MAP1A,1.27102925386383,0.001271739450276
OTUD1,-3.22450164918011,2.92935222020079E-05
PURB,-1.75443446134728,0.000599625654821
RIMKLB,-1.51390294878499,0.001188181888039
LIFR,0.992345394492114,0.001185635049373
RNF152,-2.02343129684017,0.000203619997376
TIGAR,-2.14498962390788,0.000255392146328
COG4,1.17863655433378,0.00172341339831
VPS39,1.10606846990003,0.000993130827258
LPGAT1,-1.38539741999521,0.000105927920034
TM7SF3,1.12616425078186,0.000428425798814
FAM229B,1.1477004404528,0.000867771385686
PPP1R15B,-1.26285315229871,0.001433627993047
SENP1,-1.57819979753267,0.00055992585603
GJC1,-1.64623892705817,0.001109412970503
ABR,1.28475182840068,0.001844138303651
RASGEF1B,-1.97622981489275,0.001332289756038
FRMD3,1.10709441867798,0.001327160889463
PER2,-3.38731155145728,8.77853403525081E-07
IL11RA,1.44229080610236,0.000561565852167
ATP6V0E2,1.54922100942512,0.000107702488737
PTBP2,-1.82121903224902,0.000288144520119
RFLNB,-1.87331951602361,0.000155620082499
B4GAT1,1.31523551880239,0.001571908303212
TMEM64,-1.62178549832913,0.001728739905398
ARL4A,-1.49830090994731,0.000940752161749
QPRT,1.50147557978531,0.00099844310374
RNPEPL1,1.53971637300616,0.000395412032005
DCUN1D2,1.49967155413219,0.001281414524103
TBX5,1.62736250742876,0.000485437719345
SOD3,2.33214902753781,0.000117266501869
CYHR1,1.50317716949035,0.000800142827984
AQP7,1.53434376353538,0.00111024537563
HMGCS2,3.38992060647178,0.001013730414561
GIPC2,-2.31334676136604,0.000124519385344
REPS2,-2.36370491928683,0.000546848290043
TM7SF2,1.67471883073987,0.001850694740529
CPT2,1.55978858761742,0.001085240275067
ZSCAN18,1.1356842659679,0.001769162052088
FRMD5,1.18675489654954,0.001799909729077
SLC27A1,1.49390764767559,0.001424415174666
NIT1,1.1329438149106,0.001617754401298
ABRA,-2.19581205398161,1.23640516338018E-09
EPN1,1.53811578889847,0.001513579953446
SOX11,-3.77899285485402,2.04227385241369E-07
CRLS1,1.58323337111666,0.001513435075833
SPHKAP,1.33781534722844,0.001341678786373
FAM131A,1.3065582672874,0.001738751808939
DCLK1,-2.23453317390635,0.000826332807536
KLF4,-1.49138941917042,0.001788042905385
VSTM4,1.13896603677107,0.000920903837919
SLCO5A1,-1.62634172742636,0.000125453060667
BIRC3,-2.20503602667262,0.000864805702879
MTRNR2L8,-4.59053936205618,3.39330897353427E-07
MINDY1,1.36124076077347,0.000508736422583
LRRC20,1.95985563739132,3.69877533997983E-06
IRF6,1.71878064570741,0.000443256637133
C3orf70,-3.00442960001543,1.48692160874376E-05
JCHAIN,-3.05602421313736,0.000104348356759
DIRAS3,2.37694034028077,0.001060613884401
PLVAP,2.17718124068341,0.001837867446472
B3GNT7,-3.13443017724357,0.000701638580144
ETNPPL,-1.99755631560092,0.001083169655754
